Reference Number,Procuring Entity,Title,Area of Delivery,Solicitation Number,Trade Agreement,Procurement Mode,Classification,Category,Approved Budget for the Contract,Contract Duration,Client Agency,Contact Person,Status,Associated Components,Bid Supplements,Document Request List,Date Published,Last Updated / Time,Closing Date / Time,Description,Other Information,Created by,Date Created
6941478,STO. DOMINGO ELEMENTARY SCHOOL,IMPROVEMENT OF PATHWALK,Bataan,SDES-2020-02-002,ADB Procurement Guidelines,Shopping,Goods,Construction Materials and Supplies,"33,925.00",3 Day/s,STO. DOMINGO ELEMENTARY SCHOOL,Irene Balmaceda Angeles,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,05/06/2020 1:00 PM," G.I PIPE 2SCH#20
G.I PIPE TUBULAR 1.5X2X3
G.I PIPE C PULINS 1.5X2X3
G.I PIPE 1 1/2 SCH #20
FLAT BAR 1/4 X1
ANGLE BAR 3MMX1
PRIME PAINT RED OXIDE
PAINT THINNER
ROLLER BRUSH(BABY)
CUTTING DISC
RIDGE ROLL 16
TEX SCREW 2 1/2
TEX SCREW TYPE S
P[LAIN SHEET GREE",,Irene Balmaceda Angeles,16/03/2020
6970926,DEPARTMENT OF AGRICULTURE - REGION VII,FOD-R-20-1926: Procurement of Office Supplies to be used for the C.Y. 2020 Rice Program,,DA7-2020-06-FOD-R-20-1926,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Office Supplies and Devices,"150,000.00",30 Day/s,,JOEL A. ELUMBA,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Procurement of Office Supplies to be used for the C.Y. 2020 Rice Program
1.	The Department of Agriculture-Regional Field Office 7 (DA-RFO 7), through the General Appropriations Act of CY 2020)  intends to apply the sum of One",,ANECITA A. SESPEÑE,21/04/2020
6954617,DEPARTMENT OF AGRICULTURE - REGION VII,"ILD-20-0796: Procurement of Other Supplies to be used in Bio-Con (Metarhizium, Trichogramma and Earwig) Production and Maintenance of Laboratories",,DA7-2020-06-ILD-20-0796,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,General Merchandise,"54,475.00",30 Day/s,,JOEL A. ELUMBA,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Procurement of Other Supplies to be used in Bio-Con (Metarhizium, Trichogramma and Earwig) Production and Maintenance of Laboratories
1.	The Department of Agriculture-Regional Field Office 7 (DA-RFO 7), through the General Ap",,ANECITA A. SESPEÑE,27/03/2020
6954566,DEPARTMENT OF AGRICULTURE - REGION VII,"CPAR-20-2029: Supply of Labor and Materials to be used in the construction of Native Chicken Grower House at Brgys. Pisong A and Pisong B, Maria, Siquijor",Siquijor,DA7-2020-06-CPAR-20-2029,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Civil Works,Construction Projects,"300,000.00",60 Day/s,,JOEL A. ELUMBA,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Supply of Labor and Materials to be used in the construction of Native Chicken Grower House at Brgys. Pisong A and Pisong B, Maria, Siquijor
1.	The Department of Agriculture-Regional Field Office 7 (DA-RFO 7), through the Gen",,ANECITA A. SESPEÑE,27/03/2020
6977544,DEPARTMENT OF AGRICULTURE - REGION VII,FOD-R-20-2022: Procurement of Co-technical and Scientific Equipment (Smartphones) to be used for PRISM Operationalization in Region 7,,DA7-2020-06-FOD-R-20-2022,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Communication Equipment,"219,600.00",30 Day/s,,JOEL A. ELUMBA,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Procurement of Co-technical and Scientific Equipment (Smartphones) to be used for PRISM Operationalization in Region 7
1.	The Department of Agriculture-Regional Field Office 7 (DA-RFO 7), through the General Appropriations Ac",,ANECITA A. SESPEÑE,28/04/2020
6951409,"MUNICIPALITY OF LARENA, SIQUIJOR",Procurement of Agricultural Products (Crop Production Support),Siquijor,GOODS-024-2020,Implementing Rules and Regulations,Public Bidding,Goods,"Agricultural Products (Seeds, Seedlings, Plants..)","286,350.00",30 Day/s,,Michael P Arayan,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 5:00 PM," 10 bags Corn Seeds (OPV), White														
5 bags Corn Seeds (Hybrid), Yellow														
10 bags Rice Seeds (Certified)														
10 bags Rice Seeds (Hybrid)														
15 bags Ammonium Sulfate														
15 bags Urea														
25 bags",,Michael P Arayan,24/03/2020
6941519,STO. DOMINGO ELEMENTARY SCHOOL,IMPROVEMENT OF SCHOOL FENCE,Bataan,SDES-2020-02-001,ADB Guidelines on the use of Consultants,Shopping,Goods,Construction Materials and Supplies,"30,130.00",3 Day/s,,Irene Balmaceda Angeles,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,05/06/2020 1:00 AM," G.I PIPE 1/2 SCH#20
FLAT BAR 1/4 X 1
WIRE MESH
DEFROMED BAR 12MM.
SPEED CUTTER
GRINDING DISC
RED OXIDE
PAINT THINNETR
QDE WHITE
BABY ROLLER
ANGEL BAR 8MMX1",,Irene Balmaceda Angeles,16/03/2020
7012073,DEPARTMENT OF AGRARIAN REFORM - CEBU PROVINCE,Communication Supplies,Cebu,20-05-154,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Communication Equipment & Parts and Accessories,"84,000.00",7 Day/s,,FE POTENCIOSO GARIBAY,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 1:00 PM," For ARBold Project
102  Pcs. Cellcards - Globe 500
 66  Pcs.  Cellcards - Smart 500", Please submit hard copy of your price proposals to DAR PARO Cebu.,FE POTENCIOSO GARIBAY,27/05/2020
6929939,OCCUPATIONAL SAFETY AND HEALTH CENTER,Waste Disposal of Hazardous Laboratory Waste,Metro Manila,oshc2020ECD_01,Implementing Rules and Regulations,Shopping,Goods,Waste Management and Recycling,"50,000.00",1 Day/s,,Josephine C Tamayo,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,09/06/2020 5:00 PM," Waste Disposal of Hazardous Laboratory Waste
Quantity of Hazardous Waste Generated - 0.0688 metric ton",,Josephine C Tamayo,11/03/2020
7011693,DEPARTMENT OF AGRARIAN REFORM - CEBU PROVINCE,Agricultural Products,Cebu,20-05-159,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,"Agricultural Products (Seeds, Seedlings, Plants..)","440,825.00",7 Day/s,,FE POTENCIOSO GARIBAY,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 5:00 PM," FOR FARM PRODUCTIVITY ASSISTANCE
  17   CANS   AMPALAYA SEEDS
222   CANS   BELL PEPPER SEEDS 
272   CANS   CAYENE PEPPER (SILI ESPADA) SEEDS
556   CANS   EGGPLANT SEEDS
 25.5 KILOS  OKRA SEEDS
  10   PACKS PIPINO SEEDS
 35    PACKS PECHAY SEEDS
 10    PAC", Please submit your hard copy of price quotation proposals to DAR PARO Cebu Office.,FE POTENCIOSO GARIBAY,26/05/2020
6978383,DEPARTMENT OF AGRICULTURE - REGION VII,FOD-L-20-1490:  Procurement of Laboratory Supplies to be distributed to the participants during the “Training on Artificial Insemination in Swine”,,DA7-2020-06-FOD-L-20-1490,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Laboratory Supplies and Equipment,"91,500.00",30 Day/s,,JOEL A. ELUMBA,Active,Order,0,2,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Procurement of Laboratory Supplies to be distributed to the participants during the “Training on Artificial Insemination in Swine”
1.	The Department of Agriculture-Regional Field Office 7 (DA-RFO 7), through the General Appro",,ANECITA A. SESPEÑE,28/04/2020
